epoch,step,train_loss,train_acc,train_iou,train_dice
4,6200,0.000928,0.999603,0.987607,0.993758
4,6300,0.000903,0.999615,0.988136,0.994027
4,6400,0.000925,0.999606,0.987834,0.993874
4,6500,0.000970,0.999588,0.987402,0.993655
4,6600,0.000915,0.999610,0.988173,0.994045
4,6700,0.000951,0.999594,0.987535,0.993723
4,6800,0.000918,0.999610,0.987982,0.993949
4,6900,0.000948,0.999596,0.987713,0.993812
4,7000,0.001760,0.999302,0.980106,0.989843
4,7100,0.001423,0.999414,0.982499,0.991136
4,7200,0.001080,0.999541,0.986078,0.992982
4,7300,0.001051,0.999555,0.986666,0.993280
4,7400,0.001048,0.999558,0.986551,0.993221
4,7500,0.000974,0.999585,0.987298,0.993603
4,7600,0.000930,0.999604,0.987808,0.993860
4,7700,0.000967,0.999588,0.987565,0.993738
4,7800,0.000923,0.999607,0.987937,0.993927
4,7900,0.000897,0.999619,0.988181,0.994050
4,8000,0.000921,0.999607,0.987977,0.993946
4,8100,0.000920,0.999605,0.987832,0.993873
4,8200,0.000938,0.999599,0.987755,0.993834
4,8300,0.000957,0.999591,0.987661,0.993784
4,8400,0.000951,0.999596,0.987669,0.993790
4,8500,0.000898,0.999616,0.988299,0.994109
4,8600,0.001474,0.999398,0.982400,0.991076
4,8700,0.001128,0.999522,0.985634,0.992755
4,8800,0.000976,0.999587,0.987402,0.993655
4,8900,0.000982,0.999579,0.987250,0.993577
4,9000,0.000958,0.999592,0.987492,0.993700
4,9100,0.000948,0.999597,0.987626,0.993768
4,9200,0.000925,0.999606,0.987860,0.993887
4,9300,0.000935,0.999602,0.987799,0.993856
4,9400,0.000907,0.999615,0.988227,0.994073
4,9500,0.000923,0.999606,0.987865,0.993890
4,9600,0.000903,0.999617,0.988054,0.993985
4,9700,0.000935,0.999604,0.987968,0.993941
4,9800,0.000898,0.999615,0.988203,0.994061
4,9900,0.000887,0.999625,0.988482,0.994202
4,10000,0.000914,0.999612,0.988226,0.994072
4,10100,0.000910,0.999613,0.988275,0.994097
4,10200,0.000921,0.999609,0.988183,0.994051
4,10300,0.000898,0.999615,0.988241,0.994080
4,10400,0.000902,0.999614,0.988198,0.994058
4,10500,0.000865,0.999631,0.988677,0.994301
4,10600,0.000886,0.999621,0.988402,0.994161
4,10700,0.000907,0.999612,0.988161,0.994040
5,100,0.000883,0.999623,0.988556,0.994239
5,200,0.000911,0.999611,0.988157,0.994037
5,300,0.000886,0.999622,0.988520,0.994221
5,400,0.000893,0.999619,0.988378,0.994150
5,500,0.000865,0.999634,0.988573,0.994248
5,600,0.000883,0.999622,0.988336,0.994128
5,700,0.000869,0.999630,0.988711,0.994318
5,800,0.000890,0.999619,0.988260,0.994089
5,900,0.000881,0.999626,0.988615,0.994270
5,1000,0.000873,0.999628,0.988462,0.994192
5,1100,0.000896,0.999616,0.988240,0.994079
5,1200,0.000899,0.999616,0.988308,0.994114
5,1300,0.000901,0.999616,0.988313,0.994116
5,1400,0.000888,0.999624,0.988658,0.994291
5,1500,0.000905,0.999614,0.988389,0.994155
5,1600,0.000900,0.999616,0.988426,0.994174
5,1700,0.000887,0.999622,0.988441,0.994182
5,1800,0.000900,0.999618,0.988321,0.994120
5,1900,0.000877,0.999626,0.988494,0.994208
5,2000,0.000885,0.999622,0.988513,0.994218
5,2100,0.000874,0.999629,0.988567,0.994246
5,2200,0.000868,0.999631,0.988591,0.994257
5,2300,0.000879,0.999622,0.988624,0.994274
5,2400,0.000851,0.999637,0.988878,0.994402
5,2500,0.000883,0.999625,0.988726,0.994326
5,2600,0.000869,0.999630,0.988870,0.994399
5,2700,0.000874,0.999626,0.988692,0.994308
5,2800,0.000888,0.999619,0.988510,0.994217
5,2900,0.000861,0.999633,0.988662,0.994293
5,3000,0.000925,0.999609,0.988131,0.994023
5,3100,0.000862,0.999636,0.988855,0.994391
5,3200,0.000880,0.999623,0.988613,0.994268
5,3300,0.000885,0.999621,0.988581,0.994252
5,3400,0.000867,0.999631,0.988740,0.994332
5,3500,0.000882,0.999624,0.988586,0.994254
5,3600,0.000867,0.999631,0.988573,0.994248
5,3700,0.000897,0.999618,0.988409,0.994165
5,3800,0.000867,0.999629,0.988667,0.994296
5,3900,0.000835,0.999643,0.988991,0.994459
5,4000,0.002220,0.999249,0.979184,0.989165
5,4100,0.001233,0.999483,0.984331,0.992093
5,4200,0.001073,0.999546,0.986174,0.993030
5,4300,0.001111,0.999561,0.986805,0.993344
5,4400,0.000967,0.999591,0.987600,0.993754
5,4500,0.000924,0.999611,0.987933,0.993924
5,4600,0.000933,0.999605,0.988337,0.994129
5,4700,0.000881,0.999628,0.988574,0.994247
5,4800,0.000881,0.999624,0.988345,0.994132
5,4900,0.000921,0.999608,0.988141,0.994029
5,5000,0.000904,0.999614,0.988447,0.994184
5,5100,0.000850,0.999637,0.988761,0.994343
5,5200,0.000863,0.999633,0.989010,0.994470
5,5300,0.000841,0.999643,0.989159,0.994545
5,5400,0.000887,0.999624,0.988670,0.994297
5,5500,0.000849,0.999638,0.989009,0.994469
5,5600,0.000867,0.999634,0.988843,0.994383
5,5700,0.000837,0.999644,0.989035,0.994482
5,5800,0.000867,0.999631,0.988812,0.994369
5,5900,0.000856,0.999636,0.988835,0.994381
5,6000,0.000860,0.999634,0.988646,0.994285
5,6100,0.000792,0.999665,0.989445,0.994689
5,6200,0.000839,0.999643,0.989010,0.994469
5,6300,0.000863,0.999633,0.989000,0.994465
5,6400,0.000842,0.999640,0.988945,0.994436
5,6500,0.000865,0.999632,0.988852,0.994389
